id_user,id_rental,id_vehicle,rating,sum_day_of_rental,total_pay
8817,94,MTR0031,5,3,240000
10760,2,MBL006,5,4,2000000
589,79,MTR0016,5,4,320000
1234,19,MBL0035,4,3,2850000
5035,32,MTR005,5,3,330000
9317,9,MTR0011,5,4,1120000
4168,102,MTR009,4,4,280000
155,52,MTR0033,5,3,300000
10494,115,MTR0018,5,3,330000
11431,54,MTR0030,5,3,510000
13103,67,MBL0025,5,2,1100000
1007,66,MBL0014,5,2,500000
12124,32,MTR004,5,3,330000
8939,44,MTR0017,5,3,240000
8003,21,MBL0024,3,2,700000
1912,110,MTR0022,4,4,640000
4413,38,MBL0014,5,2,800000
3831,114,MBL0033,5,2,900000
5011,70,MBL0023,5,2,700000
3739,103,MTR008,5,4,320000
8691,85,MBL0032,5,4,3000000
10474,20,MBL001,5,4,1600000
198,29,MBL006,5,4,1800000
3778,75,MBL002,5,3,1800000
4119,118,MBL005,5,3,1200000
950,30,MBL0016,5,3,900000
3876,76,MBL0013,4,2,600000
6911,4,MTR007,5,2,200000
13757,87,MBL0027,5,2,800000
4775,37,MBL0011,5,2,500000
11523,8,MTR0020,5,3,330000
11145,21,MBL0041,5,3,750000
5453,94,MTR0025,4,4,600000
9272,32,MTR0021,4,2,160000
12453,88,MBL0032,5,4,3000000
55,60,MBL001,5,4,2400000
3179,20,MBL0037,5,3,1800000
3982,81,MTR0022,5,4,520000
4010,16,MBL002,5,3,1350000
4959,73,MBL003,5,3,1500000
12125,3,MBL002,5,3,1650000
7751,22,MBL0017,5,3,1650000
11096,66,MBL0029,4,4,1400000
13706,48,MTR004,4,3,360000
4638,48,MTR0020,4,3,300000
449,74,MBL009,5,4,2200000
13263,58,MBL0018,5,3,900000
13579,2,MBL0017,5,3,1500000
10759,28,MBL0034,4,2,1800000
4139,20,MBL0025,5,2,1200000
8778,116,MBL0032,5,4,3200000
6058,9,MTR0015,4,3,690000
10130,33,MBL009,5,4,1400000
9914,78,MTR0024,4,3,390000
3167,16,MBL0035,5,3,3150000
5980,37,MBL0016,3,3,1350000
626,77,MBL0031,4,3,1350000
4651,117,MTR0014,4,4,960000
4622,93,MBL004,5,3,1050000
6832,33,MBL0033,5,2,1200000
13634,66,MBL0026,4,2,800000
3626,66,MBL0039,5,2,2900000
4076,11,MBL0018,5,3,1050000
3256,100,MBL003,4,3,1650000
7005,82,MBL003,4,3,1650000
10866,47,MTR001,4,3,300000
3504,19,MBL0012,5,4,1200000
8661,112,MTR0019,4,4,440000
11294,40,MBL0012,4,4,1200000
11399,61,MBL0013,5,2,800000
6915,91,MBL0028,5,2,900000
7706,25,MBL0038,5,3,3750000
7660,113,MTR0031,4,3,300000
6731,60,MBL0012,5,4,1000000
1213,61,MBL0014,5,2,800000
12106,58,MBL0027,5,2,800000
5473,112,MTR0010,5,4,1040000
9585,118,MTR0021,4,2,200000
259,2,MBL003,5,3,1500000
899,73,MBL0023,5,2,1200000
3520,60,MBL004,4,3,1050000
12011,98,MTR009,5,4,280000
1162,82,MBL005,4,3,1500000
1040,46,MTR0022,4,4,440000
679,12,MBL0026,4,2,800000
6187,56,MBL0035,4,3,2700000
9253,6,MTR0011,5,4,1200000
10161,95,MTR0017,3,3,270000
3233,115,MTR0032,5,2,160000
3042,28,MBL0022,5,4,1200000
1771,92,MTR0023,5,4,560000
1930,13,MBL0017,4,3,1200000
11518,61,MBL007,4,2,1200000
8451,113,MTR0033,4,3,210000
8494,119,MBL006,4,4,2400000
6346,83,MBL0020,5,2,900000
6768,30,MBL0038,4,3,3750000
7503,90,MTR0031,4,3,210000
1369,33,MBL0026,5,2,800000
6424,66,MBL0018,5,3,1350000
9078,61,MBL0019,5,2,1100000
2099,40,MBL0030,5,4,2400000
805,18,MBL0038,4,3,4200000
480,3,MBL0032,5,4,2800000
1538,12,MBL0022,5,4,1200000
12221,103,MTR005,5,3,360000
3090,52,MTR005,5,3,300000
4230,19,MBL0020,4,2,1100000
13575,75,MBL0042,5,4,1600000
1874,112,MTR001,3,3,420000
6660,41,MBL0025,5,2,1000000
10536,109,MTR0012,5,2,600000
8202,95,MTR005,5,3,360000
9329,75,MBL0023,4,2,1000000
6431,10,MTR0029,5,2,260000
12611,87,MBL0013,5,2,800000
5553,119,MTR0017,5,3,330000
9216,76,MBL0040,5,2,700000
154,113,MTR0026,4,3,360000
7734,4,MTR0018,5,3,240000
10500,73,MBL003,5,3,1500000
3349,33,MBL0030,5,4,1400000
12046,93,MBL0019,5,2,800000
9622,116,MTR0027,5,3,390000
11243,55,MBL006,5,4,2400000
13369,117,MBL0036,5,4,2200000
13624,113,MBL002,5,3,1200000
12830,65,MBL009,4,4,1800000
8503,112,MTR006,5,3,360000
7886,10,MTR0021,5,2,220000
13555,66,MBL0023,5,2,900000
10455,31,MBL0017,4,3,1500000
10385,10,MTR0031,4,3,210000
8616,28,MBL0010,5,2,700000
8201,41,MBL0040,5,2,500000
10867,98,MTR0013,5,3,750000
5796,62,MTR0027,5,3,360000
7698,92,MTR0027,5,3,300000
5307,116,MBL009,5,4,2200000
434,9,MTR0031,5,3,270000
11336,98,MTR0026,5,3,420000
9132,80,MTR0012,5,2,600000
10774,2,MBL0024,4,2,900000
