id_rental,rental_name,vehicle_type,alamat,kabupaten/kota,kecamatan,no_hp,rating
1,My Bike Rental Bali (PT Trans Mina Mulia),Motor,"Jl. Raya Kaba-Kaba, Kaba-Kaba, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Kediri,82146560471.0,5
2,Rent Car Marga Dewata,Mobil,"Jl. Kebo Iwa Bongan No.19, Bongan, Puseh, Kabupaten Tabanan, Bali 82112",Kabupaten Tabanan,Kec. Puseh,87865498211.0,4.9
3,Trea Trans,Mobil,"Jl. Kresna 3 banjar pangkung No.25, Delod Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113",Kabupaten Tabanan,Kec. Tabanan,88987025766.0,5
4,Agas Motorbike Rental,Motor,"Pandak Gede, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Kediri,85792291749.0,5
5,HARYS Rent Car & Tour,Mobil,"Perumahan Graha Luhur Damai Blok Q.29, Pandak Gede, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Kediri,87865564640.0,4.4
6,Car Rentals Bali,Motor," no 18, Perum Permata Selingsing II, Jl. Raya Munggu-Kapal, Cepaka, Kec. Kediri, Kabupaten Tabanan, Bali 82113",Kabupaten Tabanan,Kec. Kediri,81338747802.0,4.9
7,Xian Auto Rent,Mobil,"Jl. Pantai Kedungu, Nyitdah, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Kediri,81529252159.0,5
8,Karbit Bike Adventure Basecamp & Scooter Rental,Motor,"Jalan Pasekan Tanah Lot, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Kediri,85936118466.0,4.7
9,Bagus Bike Rental,Motor,"Jl. Ngurah Beng Cepaka Br, Cepaka, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Cepaka,81338520509.0,5
10,Ami Bali Rental,Motor,"Jl. Ngurah Beng, Cepaka, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Kabupaten Tabanan,Kec. Kediri,81999500777.0,4.9
11,Dgbalicarrental,Mobil,"Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",Kota Denpasar,Denpasar Barat,82147510001.0,5
12,Bali Rent Car INS,Mobil,"Jl. Jaya Giri No.22, Dangin Puri Klod, Kec. Denpasar Tim., Kota Denpasar, Bali 80234",Kota Denpasar,Denpasar Timur,81338950692.0,4.3
13,Bali Mesari Rental,Mobil,"Jl. Sulatri No.9 A, Kesiman, Kesiman Petilan, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",Kota Denpasar,Denpasar Timur,81296565758.0,4.8
14,Sewa Mobil di Bali Murah Puri Bali Car Rental,Mobil,"Jl. Bedugul Gg. Cendrawasih No.9a, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",Kota Denpasar,Denpasar Selatan,81358596061.0,4.8
15,Bali Bija Car Rental,Mobil,"Jl. Graha Parta Lestari No.8, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117",Kota Denpasar,Denpasar Barat,81338362376.0,5
16,Danu Bali Car Rental,Mobil,"Jalan pura dalem penataran anyar Gg. Palem No.15, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222",Kota Denpasar,Denpasar Selatan,85935484584.0,4.4
17,Bali Hocky Rental,Mobil,"Jl. Kerta Dalem No.X100, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",Kota Denpasar,Denpasar Selatan,81138200474.0,4.8
18,Santi Bali Rental Mobil,Mobil,"Jl. Taman Pancing Timur, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",Kota Denpasar,Denpasar Selatan,82146320344.0,4.7
19,Sewa mobil di bali,Mobil,"Jl. Gelogor Indah No.1B, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",Kota Denpasar,Denpasar Selatan,81558550412.0,-
20,Putri Bali Rental,Mobil,"Jl. Glogor Carik Gg. Nagamas No.8, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",Kota Denpasar,Denpasar Selatan,81999533488.0,4.8
21,Bali Rent Motor - Sewa Mobil Bali Murah,Mobil,"Gg. Pisang 17A No.17E, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80361",Kota Denpasar,Denpasar Selatan,81238382400.0,4.9
22,CV. Tunjung Bali Rental || sewa mobil murah di bali,Mobil,"Jl. Gunung Himalaya I No.24, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111",Kota Denpasar,Denpasar Utara,85337266980.0,4.4
23,Bali Matic Rent Car,Mobil,"Jalan gunung andakasa 999 Denpasar Barat, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117",Kota Denpasar,Denpasar Barat,81237097999.0,4.5
24,CV. BCR Sewatama Internasional,Mobil,"Gg. Cendana No.69, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80117",Kota Denpasar,Denpasar Barat,8123871684.0,4.9
25,BBH TRANSPORT & RENT CAR BALI,Mobil,"Jl. Perum Dalung Permai Jl. Damai I No.2 blok A3, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kabupaten Badung,Kec. Kuta Utara,85950031107.0,4.9
26,VF Rent A Car | Sewa Mobil Bali,Mobil,"Blok UU Jl. Perum Dalung Permai No.62, Kerobokan Kaja, Kuta Utara, Badung Regency, Bali 80361",Kabupaten Badung,Kec. Kuta Utara,85739114333.0,4.9
